input_type,k,fit_time,eval_time,accuracy,test_set
images,1,1.1863807837168375e-06,0.00036311820149421693,0.046875,set_2
images,1,5.928178628285726e-07,0.00037972033023834226,0.034375,set_3
images,1,5.09868065516154e-07,0.00026074498891830443,0.0375,set_4
images,1,5.920728047688802e-07,0.0003084540367126465,0.046875,set_1
features,1,8.434057235717774e-07,8.378326892852784e-05,0.00625,set_2
features,1,8.853773276011149e-07,8.147358894348145e-05,0.040625,set_3
features,1,8.379419644673666e-07,0.00013641417026519776,0.028125,set_4
features,1,8.121132850646973e-07,7.896497845649719e-05,0.040625,set_1
images,2,5.044043064117432e-07,0.00028709620237350465,0.040625,set_2
images,2,4.934767882029216e-07,0.00021180137991905212,0.053125,set_3
images,2,4.236896832784017e-07,0.00023881047964096068,0.03125,set_4
images,2,4.254281520843506e-07,0.0002250172197818756,0.028125,set_1
features,2,7.35620657602946e-07,0.00015727803111076355,0.0125,set_2
features,2,7.500251134236654e-07,8.711516857147217e-05,0.028125,set_3
features,2,7.249414920806885e-07,8.120313286781311e-05,0.028125,set_4
features,2,7.800757884979248e-07,0.00010166987776756286,0.046875,set_1
images,3,5.518396695454915e-07,0.0002525143325328827,0.071875,set_2
images,3,1.3470649719238282e-06,0.00019753873348236085,0.05625,set_3
images,3,5.165735880533854e-07,0.0002173490822315216,0.028125,set_4
images,3,5.339582761128744e-07,0.000207674503326416,0.025,set_1
features,3,9.47713851928711e-07,0.00012409910559654235,0.0125,set_2
features,3,8.940696716308594e-07,9.586811065673829e-05,0.03125,set_3
features,3,8.734563986460368e-07,0.00010010674595832825,0.03125,set_4
features,3,8.732080459594727e-07,9.732693433761597e-05,0.034375,set_1
images,4,7.256865501403809e-07,0.00025888010859489443,0.0625,set_2
images,4,5.225340525309245e-07,0.00025174617767333987,0.059375,set_3
images,4,4.291534423828125e-07,0.00020240172743797303,0.028125,set_4
images,4,4.3958425521850586e-07,0.0002167321741580963,0.025,set_1
features,4,7.378558317820231e-07,9.845569729804993e-05,0.0125,set_2
features,4,7.487833499908447e-07,9.934008121490479e-05,0.034375,set_3
features,4,7.68651564915975e-07,0.00011374577879905701,0.021875,set_4
features,4,7.482866446177165e-07,9.444579482078552e-05,0.04375,set_1
images,5,5.505979061126709e-07,0.00022545233368873597,0.05625,set_2
images,5,4.4057766596476237e-07,0.0002319358289241791,0.05,set_3
images,5,4.507601261138916e-07,0.00020170211791992188,0.028125,set_4
images,5,4.897514979044596e-07,0.0002003997564315796,0.021875,set_1
features,5,7.539987564086914e-07,0.00012081563472747803,0.003125,set_2
features,5,7.972121238708496e-07,8.846521377563477e-05,0.03125,set_3
features,5,9.285906950632732e-07,8.556395769119263e-05,0.025,set_4
features,5,8.242825667063396e-07,0.0001147247850894928,0.046875,set_1
images,10,5.587935447692871e-07,0.00025202855467796324,0.05,set_2
images,10,4.226962725321452e-07,0.00020501092076301574,0.05,set_3
images,10,4.587074120839437e-07,0.00022282078862190247,0.04375,set_4
images,10,4.818042119344076e-07,0.00020345821976661683,0.021875,set_1
features,10,7.197260856628418e-07,0.00010389387607574463,0.021875,set_2
features,10,7.775922616322835e-07,0.00010997727513313293,0.028125,set_3
features,10,7.616976896921794e-07,0.00012915730476379395,0.021875,set_4
features,10,7.522602876027425e-07,0.00012045502662658692,0.03125,set_1
images,15,5.563100179036459e-07,0.0003111302852630615,0.05,set_2
images,15,1.6060968240102132e-06,0.00019037947058677673,0.05,set_3
images,15,4.3387214342753093e-07,0.00022246167063713073,0.05,set_4
images,15,4.318853219350179e-07,0.0001988150179386139,0.025,set_1
features,15,7.366140683492024e-07,9.058713912963867e-05,0.0125,set_2
features,15,7.37607479095459e-07,9.681284427642822e-05,0.03125,set_3
features,15,7.569789886474609e-07,0.00010989084839820861,0.021875,set_4
features,15,7.323920726776123e-07,8.428990840911866e-05,0.03125,set_1
images,20,4.969537258148194e-07,0.00032797083258628845,0.053125,set_2
images,20,4.979471365610758e-07,0.00021734237670898438,0.059375,set_3
images,20,4.241863886515299e-07,0.00020457655191421508,0.040625,set_4
images,20,4.3486555417378744e-07,0.000189199298620224,0.04375,set_1
features,20,7.860362529754639e-07,0.00011718645691871643,0.0125,set_2
features,20,7.743636767069499e-07,9.8399817943573e-05,0.025,set_3
features,20,7.276733716328939e-07,0.00011217743158340455,0.034375,set_4
features,20,7.423261801401775e-07,0.00011426731944084168,0.028125,set_1
images,30,4.842877388000488e-07,0.00023311525583267212,0.053125,set_2
images,30,7.271766662597656e-07,0.00020424500107765197,0.04375,set_3
images,30,5.116065343221029e-07,0.00023321881890296935,0.046875,set_4
images,30,5.948046843210856e-07,0.00023257359862327576,0.053125,set_1
features,30,7.341305414835612e-07,0.0001140594482421875,0.028125,set_2
features,30,7.51266876856486e-07,0.00011052563786506653,0.01875,set_3
features,30,7.664163907368977e-07,0.00010502412915229798,0.034375,set_4
features,30,8.871157964070638e-07,9.92409884929657e-05,0.0375,set_1
images,40,4.862745602925618e-07,0.0002547949552536011,0.05,set_2
images,40,4.6143929163614906e-07,0.0002297639846801758,0.053125,set_3
images,40,4.4405460357666017e-07,0.00025601983070373536,0.053125,set_4
images,40,4.7360857327779137e-07,0.0002283938229084015,0.05625,set_1
features,40,7.820626099904378e-07,0.00011655837297439576,0.028125,set_2
features,40,7.559855779012044e-07,9.03785228729248e-05,0.028125,set_3
features,40,7.654229799906413e-07,0.0001003861427307129,0.0375,set_4
features,40,9.072323640187581e-07,0.00010747015476226806,0.05,set_1
images,50,5.433956782023112e-07,0.0002784222364425659,0.0375,set_2
images,50,5.260109901428222e-07,0.00024084001779556274,0.04375,set_3
images,50,5.401670932769775e-07,0.00023740604519844054,0.046875,set_4
images,50,5.846222241719564e-07,0.00025697052478790283,0.053125,set_1
features,50,8.625288804372152e-07,0.0001097358763217926,0.03125,set_2
features,50,7.29908545811971e-07,0.00010936260223388672,0.01875,set_3
features,50,8.781750996907552e-07,9.87708568572998e-05,0.03125,set_4
features,50,1.0557472705841064e-06,0.00015277042984962463,0.046875,set_1
